"","employees","salaries_2017","adjustments","salaries_2018","raise"
"1","Employee 1",46212.6587866805,1379.45609982125,47592.1148865018,TRUE
"2","Employee 2",42648.7966580316,-4079.21640668064,38569.580251351,FALSE
"3","Employee 3",49693.0965594947,6200.7238145452,55893.8203740399,TRUE
"4","Employee 4",43738.5312025435,-243.595478823408,43494.9357237201,FALSE
"5","Employee 5",43045.7870359533,4045.14300404117,47090.9300399944,TRUE
"6","Employee 6",42832.2422597557,-2208.15659267828,40624.0856670775,FALSE
"7","Employee 7",49052.3879718967,-4664.15157774463,44388.236394152,FALSE
"8","Employee 8",44611.2252399325,3103.27460407279,47714.4998440053,TRUE
"9","Employee 9",43782.2061404586,7974.69508368522,51756.9012241438,TRUE
"10","Employee 10",49634.7749512643,6473.58682006598,56108.3617713302,TRUE
"11","Employee 11",40542.7376646549,-4330.57686197571,36212.1608026791,FALSE
"12","Employee 12",49585.0060507655,8215.16012656502,57800.1661773305,TRUE
"13","Employee 13",42514.7769646719,1170.97972077318,43685.7566854451,TRUE
"14","Employee 14",41772.5223582238,2913.38220704347,44685.9045652673,TRUE
"15","Employee 15",48426.9953658804,2583.57265614904,51010.5680220295,TRUE
"16","Employee 16",47743.5974217951,-1896.64244884625,45846.9549729489,FALSE
"17","Employee 17",41112.3865726404,8027.69702509977,49140.0835977402,TRUE
"18","Employee 18",40833.9641406201,1335.42379015125,42169.3879307713,TRUE
"19","Employee 19",44505.4701785557,2926.14436009899,47431.6145386547,TRUE
"20","Employee 20",48640.7938506454,5603.14297792502,54243.9368285704,TRUE
"21","Employee 21",45864.4122700207,5498.92147537321,51363.3337453939,TRUE
"22","Employee 22",41855.059817899,7992.07009840757,49847.1299163066,TRUE
"23","Employee 23",44805.6712723337,8720.14305088669,53525.8143232204,TRUE
"24","Employee 24",46811.3314709626,2585.68247198127,49397.0139429439,TRUE
"25","Employee 25",41471.7905921862,5622.82272614539,47094.6133183315,TRUE
"26","Employee 26",41210.8953739516,-4058.86892462149,37152.0264493302,FALSE
"27","Employee 27",47570.6785125658,5458.72800750658,53029.4065200724,TRUE
"28","Employee 28",41495.2281373553,-2234.97311235406,39260.2550250012,FALSE
"29","Employee 29",41916.9309991412,5585.69282642566,47502.6238255668,TRUE
"30","Employee 30",40123.1296639889,3101.14063089713,43224.2702948861,TRUE
"31","Employee 31",40239.973992575,5767.75966910645,46007.7336616814,TRUE
"32","Employee 32",44966.5671237744,3444.51477285475,48411.0818966292,TRUE
"33","Employee 33",40039.0122854151,-2776.00716101006,37263.005124405,FALSE
